table,key,field,expected,tolerance
Table 1,61848,R1a,0,0
Table 1,61848,R1b,0,0
Table 1,61848,R2a,0,0
Table 1,61848,Rx2b,0,0
Table 1,61848,Rx2a,0,0
Table 1,61848,R2b,0,0
Table 1,61848,R3a,1,0
Table 1,61848,R3b,0,0
Table 1,61848,HoT,10,0
Table 1,61848,Inner_Bay,2,0
Table 1,61848,Outer_Bay,27,0
Table 1,61848,all_SoBI,0,0
Table 1,61848,total_detections,46,0
Table 1,61848,release_Rx1_days,NA,0.500000000001
Table 1,61848,release_HoT_days,2.1,0.005000000001
Table 1,61848,HoT_inner_days,1.01,0.005000000001
Table 1,61848,HoT_outer_days,9.29,0.005000000001
Table 1,61848,HoT_SoBI_days,NA,0.500000000001
Table 1,61849,fish_id,61849,0
Table 1,61849,fork_length_mm,143,0
Table 1,61849,weight_g,28.1,0.050000000001
Table 1,61849,RP1,1,0
Table 1,61849,all_MM,6,0
Table 1,61849,Rx1,1,0
Table 1,61849,R1a,0,0
Table 1,61849,R1b,5,0
Table 1,61849,R2a,0,0
Table 1,61849,Rx2b,8,0
Table 1,61849,Rx2a,0,0
Table 1,61849,R2b,2,0
Table 1,61849,R3a,0,0
Table 1,61849,R3b,3,0
Table 1,61849,HoT,11,0
Table 1,61849,Inner_Bay,16,0
Table 1,61849,Outer_Bay,0,0
Table 1,61849,all_SoBI,15,0
Table 1,61849,total_detections,68,0
Table 1,61849,release_Rx1_days,1.65,0.005000000001
Table 1,61849,release_HoT_days,2.18,0.005000000001
Table 1,61849,HoT_inner_days,1.41,0.005000000001
Table 1,61849,HoT_outer_days,NA,0.500000000001
Table 1,61849,HoT_SoBI_days,38.58,0.005000000001
Table 1,61850,fish_id,61850,0
Table 1,61850,fork_length_mm,141,0
Table 1,61850,weight_g,24.1,0.050000000001
Table 1,61850,RP1,0,0
Table 1,61850,all_MM,1,0
Table 1,61850,Rx1,1,0
Table 1,61850,R1a,0,0
Table 1,61850,R1b,0,0
Table 1,61850,R2a,0,0
Table 1,61850,Rx2b,0,0
Table 1,61850,Rx2a,0,0
Table 1,61850,R2b,0,0
Table 1,61850,R3a,1,0
Table 1,61850,R3b,0,0
Table 1,61850,HoT,9,0
Table 1,61850,Inner_Bay,1,0
Table 1,61850,Outer_Bay,4,0
Table 1,61850,all_SoBI,0,0
Table 1,61850,total_detections,17,0
Table 1,61850,release_Rx1_days,1.66,0.005000000001
Table 1,61850,release_HoT_days,2.24,0.005000000001
Table 1,61850,HoT_inner_days,1.54,0.005000000001
Table 1,61850,HoT_outer_days,3.76,0.005000000001
Table 1,61850,HoT_SoBI_days,NA,0.500000000001
Table 1,61851,fish_id,61851,0
Table 1,61851,fork_length_mm,147,0
Table 1,61851,weight_g,21.1,0.050000000001
Table 1,61851,RP1,0,0
Table 1,61851,all_MM,0,0
Table 1,61851,Rx1,1,0
Table 1,61851,R1a,0,0
Table 1,61851,R1b,0,0
Table 1,61851,R2a,1,0
Table 1,61851,Rx2b,0,0
Table 1,61851,Rx2a,0,0
Table 1,61851,R2b,0,0
Table 1,61851,R3a,2,0
Table 1,61851,R3b,0,0
Table 1,61851,HoT,0,0
Table 1,61851,Inner_Bay,0,0
Table 1,61851,Outer_Bay,0,0
Table 1,61851,all_SoBI,0,0
Table 1,61851,total_detections,4,0
Table 1,61851,release_Rx1_days,5.38,0.005000000001
Table 1,61851,release_HoT_days,NA,0.500000000001
Table 1,61851,HoT_inner_days,NA,0.500000000001
Table 1,61851,HoT_outer_days,NA,0.500000000001
