fish_index,fish_id,quantity,mean,sd,rhat,rhat_upper_95,ess,mcse,mcse_over_sd,chain_1_mean,chain_2_mean,chain_3_mean,chain_mean_range,constant
36,61900,Neither,0.489509803921569,0.499914449884787,0.999952293127852,1.00021925952998,9533.43715153391,0.00512692464245816,0.0102556040211275,0.495,0.482941176470588,0.490588235294118,0.0120588235294117,FALSE
37,61901,Moses,0.506078431372549,0.49998756110176,1.00012473262664,1.00085473388308,9661.57894708041,0.00509130932790923,0.0101828719832352,0.515294117647059,0.507647058823529,0.495294117647059,0.02,FALSE
37,61901,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
37,61901,Neither,0.493921568627451,0.49998756110176,1.00012473262664,1.00085473388308,9661.57894708039,0.00509130932790923,0.0101828719832352,0.484705882352941,0.492352941176471,0.504705882352941,0.0200000000000001,FALSE
38,61902,Moses,0.50656862745098,0.499981360762568,1.00021001812995,1.00116873088401,9443.74588059587,0.00514524372615928,0.0102908710802974,0.493529411764706,0.515588235294118,0.510588235294118,0.0220588235294118,FALSE
38,61902,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
38,61902,Neither,0.49343137254902,0.499981360762568,1.00021001812995,1.00116873088401,9443.74588059587,0.00514524372615928,0.0102908710802974,0.506470588235294,0.484411764705882,0.489411764705882,0.0220588235294117,FALSE
39,61903,Moses,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
39,61903,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
39,61903,Neither,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
40,61904,Moses,1,0,NA,NA,NA,0,0,1,1,1,0,TRUE
40,61904,Butters,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
40,61904,Neither,0,0,NA,NA,NA,0,0,0,0,0,0,TRUE
41,61905,Moses,0.516372549019608,0.499756366205249,1.00016298542503,1.00099478134925,9988.7586545448,0.0050015783291524,0.0100080332485415,0.504411764705882,0.525294117647059,0.519411764705882,0.0208823529411765,FALSE
