parameter,saved_rhat,saved_ess,constant,scientific_monitor,coda_rhat,coda_ess
Z4_b[33],1.0010402176391877,10000,FALSE,TRUE,1.00018789468208,9758.39234882362
Z4_b[34],1,1,TRUE,TRUE,NA,NA
Z4_b[35],1,1,TRUE,TRUE,NA,NA
Z4_b[36],1,1,TRUE,TRUE,NA,NA
Z4_b[37],1,1,TRUE,TRUE,NA,NA
Z4_b[38],1,1,TRUE,TRUE,NA,NA
Z4_b[39],1,1,TRUE,TRUE,NA,NA
Z4_b[40],1,1,TRUE,TRUE,NA,NA
Z4_b[41],1,1,TRUE,TRUE,NA,NA
Z4_b[42],1,1,TRUE,TRUE,NA,NA
Z4_b[43],1,1,TRUE,TRUE,NA,NA
Z4_b[44],1,1,TRUE,TRUE,NA,NA
Z4_b[45],1,1,TRUE,TRUE,NA,NA
Z5_a[1],1.0011040581901922,7900,FALSE,TRUE,1.00010656861288,9695.42628978439
Z5_a[2],1,1,TRUE,TRUE,NA,NA
Z5_a[3],1,1,TRUE,TRUE,NA,NA
Z5_a[4],1,1,TRUE,TRUE,NA,NA
Z5_a[5],1.0020405332421987,2600,FALSE,TRUE,1.0020405332422,10200.0000000002
Z5_a[6],1,1,TRUE,TRUE,NA,NA
Z5_a[7],1,1,TRUE,TRUE,NA,NA
Z5_a[8],1,1,TRUE,TRUE,NA,NA
Z5_a[9],1,1,TRUE,TRUE,NA,NA
Z5_a[10],1,1,TRUE,TRUE,NA,NA
Z5_a[11],1.0012263219970665,5300,FALSE,TRUE,1.00038757077872,10320.8383202408
Z5_a[12],1,1,TRUE,TRUE,NA,NA
Z5_a[13],1,1,TRUE,TRUE,NA,NA
Z5_a[14],1.0010645647132277,9400,FALSE,TRUE,1.00007593837725,10199.9999999999
Z5_a[15],1,1,TRUE,TRUE,NA,NA
Z5_a[16],1,1,TRUE,TRUE,NA,NA
Z5_a[17],1,1,TRUE,TRUE,NA,NA
Z5_a[18],1,1,TRUE,TRUE,NA,NA
Z5_a[19],1,1,TRUE,TRUE,NA,NA
Z5_a[20],1,1,TRUE,TRUE,NA,NA
Z5_a[21],1,1,TRUE,TRUE,NA,NA
Z5_a[22],1,1,TRUE,TRUE,NA,NA
Z5_a[23],1.0011082569522953,7800,FALSE,TRUE,1.00012116461097,10199.9999999999
Z5_a[24],1.0012465475240389,5100,FALSE,TRUE,1.00026683295285,11436.0460235272
Z5_a[25],1,1,TRUE,TRUE,NA,NA
Z5_a[26],1,1,TRUE,TRUE,NA,NA
Z5_a[27],1,1,TRUE,TRUE,NA,NA
Z5_a[28],1,1,TRUE,TRUE,NA,NA
Z5_a[29],1.0010188477478605,10000,FALSE,TRUE,1.00009317219279,9974.68822833915
Z5_a[30],1.000884243866691,10000,FALSE,TRUE,0.99989975123727,9706.13617646077
Z5_a[31],1.0008564682238772,10000,FALSE,TRUE,0.999860193052907,10264.8960314606
Z5_a[32],1.000987635526302,10000,FALSE,TRUE,1.00025085469882,10200.0000000003
Z5_a[33],1.001043554249988,10000,FALSE,TRUE,1.00042871182457,10027.5808554015
Z5_a[34],1,1,TRUE,TRUE,NA,NA
Z5_a[35],1,1,TRUE,TRUE,NA,NA
Z5_a[36],1,1,TRUE,TRUE,NA,NA
Z5_a[37],1,1,TRUE,TRUE,NA,NA
Z5_a[38],1,1,TRUE,TRUE,NA,NA
Z5_a[39],1,1,TRUE,TRUE,NA,NA
Z5_a[40],1,1,TRUE,TRUE,NA,NA
Z5_a[41],1,1,TRUE,TRUE,NA,NA
Z5_a[42],1,1,TRUE,TRUE,NA,NA
Z5_a[43],1,1,TRUE,TRUE,NA,NA
Z5_a[44],1,1,TRUE,TRUE,NA,NA
Z5_a[45],1,1,TRUE,TRUE,NA,NA
Z5_b[1],1.0011040581901922,7900,FALSE,TRUE,1.00010656861288,9695.42628978439
Z5_b[2],1,1,TRUE,TRUE,NA,NA
Z5_b[3],1,1,TRUE,TRUE,NA,NA
Z5_b[4],1,1,TRUE,TRUE,NA,NA
Z5_b[5],1.0020405332421987,2600,FALSE,TRUE,1.0020405332422,10200.0000000002
Z5_b[6],1,1,TRUE,TRUE,NA,NA
Z5_b[7],1,1,TRUE,TRUE,NA,NA
Z5_b[8],1,1,TRUE,TRUE,NA,NA
Z5_b[9],1,1,TRUE,TRUE,NA,NA
Z5_b[10],1,1,TRUE,TRUE,NA,NA
Z5_b[11],1.0012263219970665,5300,FALSE,TRUE,1.00038757077872,10320.8383202408
Z5_b[12],1,1,TRUE,TRUE,NA,NA
Z5_b[13],1,1,TRUE,TRUE,NA,NA
Z5_b[14],1.0010645647132277,9400,FALSE,TRUE,1.00007593837725,10199.9999999999
Z5_b[15],1,1,TRUE,TRUE,NA,NA
Z5_b[16],1,1,TRUE,TRUE,NA,NA
Z5_b[17],1,1,TRUE,TRUE,NA,NA
Z5_b[18],1,1,TRUE,TRUE,NA,NA
Z5_b[19],1,1,TRUE,TRUE,NA,NA
Z5_b[20],1,1,TRUE,TRUE,NA,NA
Z5_b[21],1,1,TRUE,TRUE,NA,NA
Z5_b[22],1,1,TRUE,TRUE,NA,NA
Z5_b[23],1.0011082569522953,7800,FALSE,TRUE,1.00012116461097,10199.9999999999
Z5_b[24],1.0012465475240389,5100,FALSE,TRUE,1.00026683295285,11436.0460235272
Z5_b[25],1,1,TRUE,TRUE,NA,NA
Z5_b[26],1,1,TRUE,TRUE,NA,NA
Z5_b[27],1,1,TRUE,TRUE,NA,NA
Z5_b[28],1,1,TRUE,TRUE,NA,NA
Z5_b[29],1.0010188477478605,10000,FALSE,TRUE,1.00009317219279,9974.68822833915
Z5_b[30],1.000884243866691,10000,FALSE,TRUE,0.99989975123727,9706.13617646077
Z5_b[31],1.0008564682238772,10000,FALSE,TRUE,0.999860193052907,10264.8960314606
Z5_b[32],1.000987635526302,10000,FALSE,TRUE,1.00025085469882,10200.0000000003
Z5_b[33],1.001043554249988,10000,FALSE,TRUE,1.00042871182457,10027.5808554015
Z5_b[34],1,1,TRUE,TRUE,NA,NA
Z5_b[35],1,1,TRUE,TRUE,NA,NA
Z5_b[36],1,1,TRUE,TRUE,NA,NA
Z5_b[37],1,1,TRUE,TRUE,NA,NA
Z5_b[38],1,1,TRUE,TRUE,NA,NA
Z5_b[39],1,1,TRUE,TRUE,NA,NA
Z5_b[40],1,1,TRUE,TRUE,NA,NA
Z5_b[41],1,1,TRUE,TRUE,NA,NA
Z5_b[42],1,1,TRUE,TRUE,NA,NA
Z5_b[43],1,1,TRUE,TRUE,NA,NA
Z5_b[44],1,1,TRUE,TRUE,NA,NA
Z5_b[45],1,1,TRUE,TRUE,NA,NA
deviance,1.0012918264531363,4500,FALSE,FALSE,NA,NA
p_MM,1.0010942489115386,8200,FALSE,TRUE,1.00026123361381,10357.0297480387
p_R1a,1.000890872033882,10000,FALSE,TRUE,0.999957582821212,10200
p_R1b,1.0009250467673036,10000,FALSE,TRUE,0.999965924978034,10200
