fish_id,location_id,first_detection_datetime,last_detection_datetime,detection_count,detected
61850,Inner_Bay,2022-05-30T08:50:43-0400,2022-05-30T08:50:43-0400,1,1
61850,Outer_Bay,2022-06-01T14:04:19-0400,2022-06-01T14:06:22-0400,4,1
61850,all_SoBI,NA,NA,0,0
61851,RP1,NA,NA,0,0
61851,all_MM,NA,NA,0,0
61851,Rx1,2022-05-31T23:09:11-0400,2022-05-31T23:09:11-0400,1,1
61851,R1a,NA,NA,0,0
61851,R1b,NA,NA,0,0
61851,R2a,2022-06-04T01:19:07-0400,2022-06-04T01:19:07-0400,1,1
61851,Rx2b,NA,NA,0,0
61851,Rx2a,NA,NA,0,0
61851,R2b,NA,NA,0,0
61851,R3a,2022-06-04T01:48:27-0400,2022-06-04T01:49:08-0400,2,1
61851,R3b,NA,NA,0,0
61851,HoT,NA,NA,0,0
61851,Inner_Bay,NA,NA,0,0
61851,Outer_Bay,NA,NA,0,0
61851,all_SoBI,NA,NA,0,0
61852,RP1,NA,NA,0,0
61852,all_MM,2022-05-28T03:22:30-0400,2022-05-28T03:22:59-0400,3,1
61852,Rx1,NA,NA,0,0
61852,R1a,NA,NA,0,0
61852,R1b,NA,NA,0,0
61852,R2a,NA,NA,0,0
61852,Rx2b,NA,NA,0,0
61852,Rx2a,2022-05-28T05:37:07-0400,2022-05-28T05:37:07-0400,1,1
61852,R2b,NA,NA,0,0
61852,R3a,NA,NA,0,0
61852,R3b,NA,NA,0,0
61852,HoT,2022-05-28T11:31:37-0400,2022-05-28T15:16:31-0400,75,1
61852,Inner_Bay,NA,NA,0,0
61852,Outer_Bay,2022-06-02T13:17:05-0400,2022-06-02T13:35:30-0400,17,1
61852,all_SoBI,NA,NA,0,0
61853,RP1,2022-05-27T21:39:37-0400,2022-05-27T21:39:37-0400,1,1
61853,all_MM,2022-05-28T04:16:13-0400,2022-05-28T04:16:56-0400,3,1
61853,Rx1,NA,NA,0,0
61853,R1a,NA,NA,0,0
61853,R1b,2022-05-28T06:23:09-0400,2022-05-28T06:24:31-0400,3,1
61853,R2a,NA,NA,0,0
61853,Rx2b,NA,NA,0,0
61853,Rx2a,2022-05-28T07:09:22-0400,2022-05-28T07:09:22-0400,1,1
61853,R2b,NA,NA,0,0
61853,R3a,NA,NA,0,0
61853,R3b,NA,NA,0,0
61853,HoT,2022-05-31T22:05:36-0400,2022-06-01T04:12:49-0400,57,1
61853,Inner_Bay,2022-06-02T12:06:27-0400,2022-06-02T12:11:53-0400,6,1
61853,Outer_Bay,2022-06-07T01:04:54-0400,2022-06-07T03:51:16-0400,190,1
61853,all_SoBI,NA,NA,0,0
61854,RP1,NA,NA,0,0
61854,all_MM,2022-05-28T05:03:43-0400,2022-05-28T05:05:17-0400,3,1
61854,Rx1,NA,NA,0,0
61854,R1a,NA,NA,0,0
61854,R1b,2022-05-28T06:45:11-0400,2022-05-28T06:47:00-0400,4,1
61854,R2a,NA,NA,0,0
61854,Rx2b,2022-05-28T07:18:56-0400,2022-05-28T07:18:56-0400,1,1
61854,Rx2a,NA,NA,0,0
61854,R2b,NA,NA,0,0
61854,R3a,NA,NA,0,0
61854,R3b,2022-05-28T07:42:15-0400,2022-05-28T07:42:15-0400,1,1
61854,HoT,2022-05-28T20:54:43-0400,2022-05-28T21:10:28-0400,57,1
61854,Inner_Bay,2022-05-29T23:02:19-0400,2022-05-29T23:56:13-0400,27,1
